State,Female,Male,Asian,Black,Mixed Race,Native,Native Hawaiian/Pacific Islander,White,Net_int_migration
Alabama,2533668,2369517,73715,1313291,86874,34799,5110,3389396,0.5662420464134633
Alaska,350127,381418,47799,27108,54699,113953,10498,477488,0.8986257435139403
Arizona,3661420,3617297,268723,376997,213483,385903,20169,6013442,1.0780826503710221
Arkansas,1536188,1481616,50403,473048,66592,30717,11786,2385258,0.088925211077095
California,19867369,19644854,6110945,2552757,1574115,649862,199805,28424739,1.874748073130218
Colorado,2857388,2901348,202664,264479,180670,92982,11329,5006612,1.8380749104172105
Connecticut,1825870,1739417,176579,434585,88136,20567,3879,2841541,3.4533650692809825
Delaware,502971,470793,39863,225544,26659,6564,1059,674075,0.07528710945456552
District of Columbia,371038,334711,31502,324484,20129,4130,923,324581,3.700713993360316
Florida,10980681,10497056,634827,3633515,478412,108950,24641,16597392,4.151392159187852
Georgia,5456999,5160424,463966,3458147,235386,56008,12411,6391505,1.4248963748300048
Hawaii,707832,708040,532190,30958,342288,5570,143549,361317,3.5353864757717792
Idaho,891137,895928,27711,16346,45579,31120,3944,1662365,0.09441426548669565
Illinois,6445263,6226558,747690,1852516,260815,75500,8385,9726915,1.5128239175027796
Indiana,3411859,3320360,174750,669596,145402,28340,4539,5709592,2.1416896216750487
Iowa,1583995,1571075,84119,128105,61902,17060,4804,2859080,0.8449022223181097
Kansas,1461617,1451697,92862,178725,89131,35063,3687,2513846,1.4091778199394196
Kentucky,2266644,2201029,71504,378479,90171,13404,4192,3909923,0.17135511432298042
Louisiana,2381744,2267050,84192,1524733,81576,36596,2854,2918843,0.6531675834647189
Maine,686100,658112,17420,22691,24553,9767,455,1269326,0.6350462812338233
Maryland,3116815,2928865,406303,1878645,177743,36840,6705,3539444,2.484960040498343
Massachusetts,3546935,3345568,497517,621902,177199,34310,7410,5554165,4.127145586490676
Michigan,5068329,4918528,336384,1407890,252965,73865,4186,7911567,1.3165136183699815
Minnesota,2829821,2809811,292507,395556,145945,77479,4214,4723931,1.6206822746923963
Mississippi,1533857,1442292,33032,1124559,39966,18705,1806,1758081,0.47975808643333767
Missouri,3124766,3012662,133312,725579,146653,35839,9857,5086188,0.8977856442558237
Montana,530712,538066,9833,6389,30329,71096,920,950211,0.3024265030808526
Nebraska,967959,966449,53187,100763,44695,29285,2349,1704129,1.7072441556032583
Nevada,1535329,1544827,268166,316303,141604,51946,24585,2277552,-0.3176423991694142
New Hampshire,685918,673793,40300,24371,24157,4114,672,1266097,1.4352183566418102
New Jersey,4541603,4340587,886810,1337457,203450,55429,10240,6388804,2.3957386828108507
New Mexico,1059397,1037432,37550,54772,54716,229794,3341,1716656,0.7380232338879646
New York,10005715,9447846,1753199,3421123,515681,189748,27034,13546776,2.3472759737401416
North Carolina,5387820,5100264,334299,2330563,245008,165597,13130,7399487,1.359291286376483
North Dakota,372030,390032,12860,25984,17583,42465,615,662555,1.2511989011552866
Ohio,5958538,5730562,291478,1525570,278251,34010,7055,9552736,0.8177033765380246
Oklahoma,1996313,1960658,94253,307819,247860,371104,8581,2927354,1.1355914990694178
Oregon,2127010,2090727,204739,93740,167762,77115,19245,3655136,0.7845590212798836
Pennsylvania,6527628,6274361,481877,1540092,272277,50687,9994,10447062,1.5257640039447076
Rhode Island,543686,515675,39536,90108,30621,11453,2125,885518,3.4424984700006798
South Carolina,2655575,2493139,94111,1388017,101237,28236,5065,3532048,1.1187477218023878
South Dakota,437902,446757,13699,20332,21767,80004,787,748070,0.4740957162956792
Tennessee,3496935,3332239,134076,1164461,136993,32661,6578,5354405,1.3665367601403005
Texas,14593179,14402702,1510470,3739221,601946,294902,43212,22806130,2.2575101544832967
Utah,1591041,1614917,85727,47537,84863,49720,33979,2904132,1.7545382441534787
Vermont,315673,308316,11964,8774,12461,2441,247,588102,0.6136114397679492
Virginia,4335262,4200257,589710,1696911,269556,46602,10092,5922648,1.745515077504262
Washington,3802910,3811983,727986,331924,370139,146799,60349,5977696,3.1842762307776553
West Virginia,904377,887770,14703,64610,32597,4585,530,1675122,-0.19408092117812123
Wisconsin,2925225,2897209,175279,390543,116784,68628,3419,5067781,0.5745564857298123
Wyoming,284029,294730,6571,7467,12976,15778,596,535371,0.9305060707738075
