state,indicator,stat,us_average,party2020,college_votes_available
Alabama,Per Capita Income 2020 ($),48641,59410.22,Republican,9
Alaska,Per Capita Income 2020 ($),67507,59410.22,Republican,3
Arizona,Per Capita Income 2020 ($),50403,59410.22,Democrat,11
Arkansas,Per Capita Income 2020 ($),48691,59410.22,Republican,6
California,Per Capita Income 2020 ($),72764,59410.22,Democrat,55
Colorado,Per Capita Income 2020 ($),65816,59410.22,Democrat,9
Connecticut,Per Capita Income 2020 ($),81606,59410.22,Democrat,7
Delaware,Per Capita Income 2020 ($),58989,59410.22,Democrat,3
District of Columbia,Per Capita Income 2020 ($),88033,59410.22,Democrat,3
Florida,Per Capita Income 2020 ($),56412,59410.22,Republican,29
Georgia,Per Capita Income 2020 ($),52184,59410.22,Democrat,16
Hawaii,Per Capita Income 2020 ($),65961,59410.22,Democrat,4
Idaho,Per Capita Income 2020 ($),50169,59410.22,Republican,4
Illinois,Per Capita Income 2020 ($),66224,59410.22,Democrat,20
Indiana,Per Capita Income 2020 ($),52560,59410.22,Republican,11
Iowa,Per Capita Income 2020 ($),58612,59410.22,Republican,6
Kansas,Per Capita Income 2020 ($),57636,59410.22,Republican,6
Kentucky,Per Capita Income 2020 ($),48585,59410.22,Republican,8
Louisiana,Per Capita Income 2020 ($),51789,59410.22,Republican,8
Maine,Per Capita Income 2020 ($),56268,59410.22,Democrat,4
Maryland,Per Capita Income 2020 ($),69341,59410.22,Democrat,10
Massachusetts,Per Capita Income 2020 ($),86779,59410.22,Democrat,11
Michigan,Per Capita Income 2020 ($),55484,59410.22,Democrat,16
Minnesota,Per Capita Income 2020 ($),64364,59410.22,Democrat,10
Mississippi,Per Capita Income 2020 ($),43352,59410.22,Republican,6
Missouri,Per Capita Income 2020 ($),53036,59410.22,Republican,10
Montana,Per Capita Income 2020 ($),56030,59410.22,Republican,3
Nebraska,Per Capita Income 2020 ($),55810,59410.22,Republican,5
Nevada,Per Capita Income 2020 ($),57987,59410.22,Democrat,6
New Hampshire,Per Capita Income 2020 ($),67815,59410.22,Democrat,4
New Jersey,Per Capita Income 2020 ($),81429,59410.22,Democrat,14
New Mexico,Per Capita Income 2020 ($),48194,59410.22,Democrat,5
New York,Per Capita Income 2020 ($),77014,59410.22,Democrat,29
North Carolina,Per Capita Income 2020 ($),48153,59410.22,Republican,15
North Dakota,Per Capita Income 2020 ($),57690,59410.22,Republican,3
Ohio,Per Capita Income 2020 ($),55340,59410.22,Republican,18
Oklahoma,Per Capita Income 2020 ($),52469,59410.22,Republican,7
Oregon,Per Capita Income 2020 ($),59512,59410.22,Democrat,7
Pennsylvania,Per Capita Income 2020 ($),64816,59410.22,Democrat,20
Rhode Island,Per Capita Income 2020 ($),64878,59410.22,Democrat,4
South Carolina,Per Capita Income 2020 ($),49036,59410.22,Republican,9
South Dakota,Per Capita Income 2020 ($),58778,59410.22,Republican,3
Tennessee,Per Capita Income 2020 ($),51232,59410.22,Republican,11
Texas,Per Capita Income 2020 ($),57231,59410.22,Republican,38
Utah,Per Capita Income 2020 ($),53218,59410.22,Republican,6
