state,per_capita_income_2020,per_capita_income_2019,percentage_change_in_income,unemployment_010920,unemployment_010919,least_1_gun_percent,health_insured_2019_any_coverage,health_insured_2019_uninsured,is_hispanic,not_hispanic,tot_cases,tot_death,donald_trump,joe_biden,female,male,asian,black,mixed_race,native,native_hawaiian_pacific_islander,white,net_int_migration,Female,Male,Asian,Black,Mixed Race,Native,Native Hawaiian/Pacific Islander,White,Net_int_migration
Alabama,48641,44009,10.53,6.6,2.7,58,4354000,469000,446556,9359814,17947928,322803,205563,310365,3999134,3630624,114574,1988302,92186,54772,7414,5372510,0.5662420464134633,1999567,1815312,57287,994151,46093,27386,3707,2686255,0.5662420464134633
Alaska,67507,62653,7.75,7.2,6.2,59,620000,86000,106424,1356666,916455,6505,66000,38215,525050,578074,74990,41374,59966,154106,14218,758470,0.8986257435139403,262525,289037,37495,20687,29983,77053,7109,379235,0.8986257435139403
Arizona,50403,45901,9.81,6.7,4.6,37,6357000,809000,4621180,9936254,27638738,675639,542395,553730,5715350,5561612,432444,555130,241408,535568,30594,9481818,1.0780826503710221,2857675,2780806,216222,277565,120704,267784,15297,4740909,1.0780826503710221
Arkansas,48691,44494,9.43,7.3,3.6,50,2692000,271000,473262,5562346,9473026,142030,324620,139920,2389338,2245960,77192,692410,70916,46008,15056,3733716,0.088925211077095,1194669,1122980,38596,346205,35458,23004,7528,1866858,0.088925211077095
California,72764,66430,9.53,11,3.9,18,35996000,3002000,31149760,47874686,96229658,1972879,1462366,1900466,31037002,30198162,10016564,3994944,1892098,985052,305326,44041180,1.874748073130218,15518501,15099081,5008282,1997472,946049,492526,152663,22020590,1.874748073130218
Colorado,65816,60879,8.11,6.4,2.6,39,5211000,453000,2513808,9003664,10304307,356650,542894,780390,4483006,4515428,320454,396642,211198,135742,16828,7917570,1.8380749104172105,2241503,2257714,160227,198321,105599,67871,8414,3958785,1.8380749104172105
Connecticut,81606,77111,5.83,7.8,3.7,18,3307000,207000,1201910,5928664,10324173,847761,359137,513394,2939364,2736330,275964,660040,98286,30176,5972,4605256,3.4533650692809825,1469682,1368165,137982,330020,49143,15088,2986,2302628,3.4533650692809825
Delaware,58989,54377,8.48,8.2,3.9,30,894000,63000,186782,1760746,3052434,104350,129373,239586,804998,735386,62892,339728,27792,9884,1522,1098566,0.07528710945456552,402499,367693,31446,169864,13896,4942,761,549283,0.07528710945456552
District of Columbia,88033,83196,5.81,8.7,5.3,NULL,672000,25000,158954,1252544,2438918,109813,7281,143960,615590,539572,55950,507098,26802,6224,1318,557770,3.700713993360316,307795,269786,27975,253549,13401,3112,659,278885,3.700713993360316
Florida,56412,52311,7.84,7.6,2.9,29,18372000,2784000,11327720,31627754,81769191,1631971,2894419,3118038,17820296,16675320,1033870,5406948,543480,172132,37850,27301336,4.151392159187852,8910148,8337660,516935,2703474,271740,86066,18925,13650668,4.151392159187852
Georgia,52184,48141,8.4,6.4,3.2,39,9023000,1398000,2097448,19137398,37573309,885579,1269226,1395006,8454268,7772816,720994,5162238,247122,80770,17238,9998722,1.4248963748300048,4227134,3886408,360497,2581119,123561,40385,8619,4999361,1.4248963748300048
Idaho,50169,45823,9.48,6.1,2.9,53,1574000,191000,458980,3115150,4837912,53571,382629,210680,1343760,1333968,43922,22282,51798,42938,5832,2510956,0.09441426548669565,671880,666984,21961,11141,25899,21469,2916,1255478,0.09441426548669565
Illinois,66224,58425,13.35,10.2,3.7,24,11565000,923000,4439764,20903878,41938415,1472036,1999561,3091428,10132452,9575440,1194810,2804598,281888,115494,12756,15298346,1.5128239175027796,5066226,4787720,597405,1402299,140944,57747,6378,7649173,1.5128239175027796
