state,per_capita_income_2020,per_capita_income_2019,percentage_change_in_income,unemployment_010920,unemployment_010919,adult_gun_at_home_perc,health_insured_2019_any_coverage,health_insured_2019_uninsured,is_hispanic,not_hispanic,total_popn,percent_high_school_or_higher,percent_bachelors_or_higher,children_0_18,adults_19_25,adults_26_34,adults_35_54,adults_55_64,adults_65plus,winner2016,party2016,candidatevotes2016,totalvotes2016,percentage_of_vote_2016,x2020_winner,percentage_of_vote_2020,donald_trump,joe_biden,other_candidates,tot_death,tot_cases,female,male,asian,black,mixed_race,native,native_hawaiian_pacific_islander,white,net_int_migration,party2020,college_votes_available
Alabama,48641,44009,NA,6.6,2.7,58,4354000,469000,223278,4679907,4903185,85.8,24.9,0.237,0.087,0.115,0.251,0.135,0.175,"Trump, Donald J.",republican,1318255,2123372,NA,NA,NA,1434159,843473,32268,2987,195929,2533668,2369517,73715,1313291,86874,34799,5110,3389396,0.566242046,Republican,9
Alaska,67507,62653,NA,7.2,6.2,59,620000,86000,53212,678333,731545,92.7,29.2,0.259,0.093,0.139,0.246,0.132,0.13,"Trump, Donald J.",republican,163387,318608,NA,NA,NA,139264,91497,9473,84,16360,350127,381418,47799,27108,54699,113953,10498,477488,0.898625744,Republican,3
Arizona,50403,45901,NA,6.7,4.6,37,6357000,809000,2310590,4968127,7278717,86.8,28.9,0.24,0.093,0.121,0.241,0.124,0.182,"Trump, Donald J.",republican,1252401,2573165,NA,NA,NA,1642379,1655192,51187,6020,249818,3661420,3617297,268723,376997,213483,385903,20169,6013442,1.07808265,Democrat,11
Arkansas,48691,44494,NA,7.3,3.6,50,2692000,271000,236631,2781173,3017804,86.2,22.6,0.247,0.087,0.115,0.248,0.131,0.173,"Trump, Donald J.",republican,684872,1130635,NA,NA,NA,757052,418051,34269,2003,114161,1536188,1481616,50403,473048,66592,30717,11786,2385258,0.088925211,Republican,6
California,72764,66430,NA,11,3.9,18,35996000,3002000,15574880,23937343,39512223,82.9,33.3,0.237,0.092,0.137,0.263,0.123,0.149,"Clinton, Hillary",democrat,8753788,14181595,NA,NA,NA,5370182,10270877,334170,17686,934672,19867369,19644854,6110945,2552757,1574115,649862,199805,28424739,1.874748073,Democrat,55
Colorado,65816,60879,NA,6.4,2.6,39,5211000,453000,1256904,4501832,5758736,91.4,40.1,0.231,0.089,0.141,0.265,0.126,0.148,"Clinton, Hillary",democrat,1338870,2780220,NA,NA,NA,1346199,1779938,86032,2311,114709,2857388,2901348,202664,264479,180670,92982,11329,5006612,1.83807491,Democrat,9
Connecticut,81606,77111,NA,7.8,3.7,18,3307000,207000,600955,2964332,3565287,90.5,38.9,0.217,0.086,0.113,0.259,0.148,0.177,"Clinton, Hillary",democrat,897572,1644920,NA,NA,NA,714176,1079168,28534,4634,74843,1825870,1739417,176579,434585,88136,20567,3879,2841541,3.453365069,Democrat,7
Delaware,58989,54377,NA,8.2,3.9,30,894000,63000,93391,880373,973764,89.8,31.4,0.218,0.081,0.118,0.242,0.144,0.197,"Clinton, Hillary",democrat,235603,441590,NA,NA,NA,200603,296268,7139,712,25534,502971,470793,39863,225544,26659,6564,1059,674075,0.075287109,Democrat,3
District of Columbia,88033,83196,NA,8.7,5.3,NULL,672000,25000,79477,626272,705749,NA,NA,0.195,0.09,0.216,0.269,0.103,0.127,"Clinton, Hillary",democrat,282830,312575,NA,NA,NA,16306,285728,7156,647,17524,371038,334711,31502,324484,20129,4130,923,324581,3.700713993,Democrat,3
Florida,56412,52311,NA,7.6,2.9,29,18372000,2784000,5663860,15813877,21477737,88,29.2,0.209,0.08,0.114,0.249,0.137,0.211,"Trump, Donald J.",republican,4617886,9420039,NA,NA,NA,5667474,5294767,113205,16890,805924,10980681,10497056,634827,3633515,478412,108950,24641,16597392,4.151392159,Republican,29
