state,indicator,stat,us_average
California,2016 Winning Vote Share,61.7,48
Colorado,2016 Winning Vote Share,48.2,48
Connecticut,2016 Winning Vote Share,54.6,48
Delaware,2016 Winning Vote Share,53.4,48
District of Columbia,2016 Winning Vote Share,90.5,48
Hawaii,2016 Winning Vote Share,61,48
Illinois,2016 Winning Vote Share,55.8,48
Maryland,2016 Winning Vote Share,60.3,48
Massachusetts,2016 Winning Vote Share,59.1,48
Minnesota,2016 Winning Vote Share,46.4,48
Nevada,2016 Winning Vote Share,47.9,48
New Hampshire,2016 Winning Vote Share,46.8,48
New Jersey,2016 Winning Vote Share,55.5,48
New Mexico,2016 Winning Vote Share,48.3,48
New York,2016 Winning Vote Share,56.1,48
Oregon,2016 Winning Vote Share,50.1,48
Rhode Island,2016 Winning Vote Share,54.4,48
Vermont,2016 Winning Vote Share,55.7,48
Virginia,2016 Winning Vote Share,49.8,48
Washington,2016 Winning Vote Share,52.5,48
Alabama,2016 Winning Vote Share,62,47.3
Alaska,2016 Winning Vote Share,51.3,47.3
Arizona,2016 Winning Vote Share,48.7,47.3
Arkansas,2016 Winning Vote Share,60.6,47.3
Florida,2016 Winning Vote Share,49,47.3
Georgia,2016 Winning Vote Share,50.8,47.3
Idaho,2016 Winning Vote Share,59.3,47.3
Indiana,2016 Winning Vote Share,56.9,47.3
Iowa,2016 Winning Vote Share,51.2,47.3
Kansas,2016 Winning Vote Share,56.7,47.3
Kentucky,2016 Winning Vote Share,62.5,47.3
Louisiana,2016 Winning Vote Share,58.1,47.3
Michigan,2016 Winning Vote Share,47.5,47.3
Mississippi,2016 Winning Vote Share,57.9,47.3
Missouri,2016 Winning Vote Share,56.8,47.3
Montana,2016 Winning Vote Share,56.5,47.3
Nebraska,2016 Winning Vote Share,58.7,47.3
North Carolina,2016 Winning Vote Share,49.8,47.3
North Dakota,2016 Winning Vote Share,63,47.3
Ohio,2016 Winning Vote Share,51.7,47.3
Oklahoma,2016 Winning Vote Share,65.3,47.3
Pennsylvania,2016 Winning Vote Share,48.6,47.3
South Carolina,2016 Winning Vote Share,54.9,47.3
Tennessee,2016 Winning Vote Share,60.7,47.3
Texas,2016 Winning Vote Share,52.2,47.3
Utah,2016 Winning Vote Share,45.5,47.3
West Virginia,2016 Winning Vote Share,68.6,47.3
Wisconsin,2016 Winning Vote Share,47.2,47.3
Wyoming,2016 Winning Vote Share,67.4,47.3
Arizona,2020 Winning Vote Share,49.4,51
California,2020 Winning Vote Share,64.3,51
Colorado,2020 Winning Vote Share,55.4,51
Connecticut,2020 Winning Vote Share,59.2,51
Delaware,2020 Winning Vote Share,58.8,51
District of Columbia,2020 Winning Vote Share,92.4,51
Georgia,2020 Winning Vote Share,49.5,51
Hawaii,2020 Winning Vote Share,63.7,51
Illinois,2020 Winning Vote Share,56.8,51
Maine,2020 Winning Vote Share,53.5,51
Maine,2020 Winning Vote Share,46.3,51
Maryland,2020 Winning Vote Share,64.4,51
Massachusetts,2020 Winning Vote Share,65.2,51
Michigan,2020 Winning Vote Share,50.5,51
Minnesota,2020 Winning Vote Share,52.5,51
Nevada,2020 Winning Vote Share,50.2,51
New Hampshire,2020 Winning Vote Share,52.8,51
New Jersey,2020 Winning Vote Share,57.5,51
New Mexico,2020 Winning Vote Share,54.2,51
New York,2020 Winning Vote Share,55.7,51
Oregon,2020 Winning Vote Share,56.5,51
Pennsylvania,2020 Winning Vote Share,49.7,51
Rhode Island,2020 Winning Vote Share,59.6,51
Vermont,2020 Winning Vote Share,64.9,51
Virginia,2020 Winning Vote Share,54.1,51
Washington,2020 Winning Vote Share,58.5,51
Wisconsin,2020 Winning Vote Share,49.4,51
Alabama,2020 Winning Vote Share,62.1,47.3
Alaska,2020 Winning Vote Share,58,47.3
Arkansas,2020 Winning Vote Share,62.6,47.3
Florida,2020 Winning Vote Share,51.2,47.3
Idaho,2020 Winning Vote Share,63.8,47.3
Indiana,2020 Winning Vote Share,57,47.3
Iowa,2020 Winning Vote Share,53.2,47.3
Kansas,2020 Winning Vote Share,56.5,47.3
Kentucky,2020 Winning Vote Share,62.1,47.3
Louisiana,2020 Winning Vote Share,58.5,47.3
Mississippi,2020 Winning Vote Share,59.4,47.3
Missouri,2020 Winning Vote Share,56.9,47.3
Montana,2020 Winning Vote Share,56.7,47.3
Nebraska,2020 Winning Vote Share,58.5,47.3
North Carolina,2020 Winning Vote Share,50,47.3
North Dakota,2020 Winning Vote Share,65.1,47.3
Ohio,2020 Winning Vote Share,53.3,47.3
Oklahoma,2020 Winning Vote Share,65.4,47.3
South Carolina,2020 Winning Vote Share,55.1,47.3
South Dakota,2020 Winning Vote Share,61.8,47.3
South Dakota,2020 Winning Vote Share,61.5,47.3
Tennessee,2020 Winning Vote Share,60.7,47.3
Texas,2020 Winning Vote Share,52.1,47.3
Utah,2020 Winning Vote Share,58.3,47.3
West Virginia,2020 Winning Vote Share,68.7,47.3
Wyoming,2020 Winning Vote Share,70,47.3
